Defect No.,Location,Defect Description,Breach,Remediation
Building D roof,South planter,"Waterproofing has been applied over the painted finish and is delaminating.

The chemicals in the waterproofing can react with the paint and is not tested system to guarantee compatibility.

The membrane can delaminate from the wall and moisture enter it from behind. Hence why paint is to be applied over the membrane to overflash the top of the membrane.

Waterproofing is to be applied to a smooth, not textured surface to ensure consistent film thickness.","Building Code of Australia 2016
F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.
AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and  contamination.  

Home Building Act 1989
Works have not been completed with due care and skill as the top edge of the membrane has not be protected from delamination – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Works are not fit for purpose as moisture can bypass the membrane – section 18B(1)(f) of the HBA. 

See section 10.3 of the report.","Undertake adhesion tests as per AS4858 or as per the manufacturer's specification.
If compliant, apply a suitable and compatible overcoat in textured paint to protect the top edge of the waterproof membrane.

See section 10.3 of the report."
Building D roof,South skylight,"Failed waterproofing membrane.

Cementitious waterproofing repairs over paint and poky membrane.

A cementitious membrane is not suitable for this application.

Water test is required and then repairs.","Building Code of Australia 2016
F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.
AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  

Home Building Act 1989
Works have not been completed with due care and skill as the top edge of the membrane has not be protected from delamination – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Works are not fit for purpose as moisture can bypass the membrane – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Remove membrane.
Dig back soil.
Install bond breaker as per AS4654.2 and manufacturer's specifications.
Apply paint finish over.
See section 10.2 of the report."
Building D roof,South roof,"Insufficient allowance for thermal expansion.

The sealant is bulging up from the tile expansion being insufficient.

Insufficient allowance for thermal expansions is resulting in heaving of tiles and trapped moisture,  resulting in efflorescence.","AS 3958.1 - 2007

5.4.5   Movement joints
5.4.5.1   General
Movement joints are discontinuities in the tiled surface, filled with permanently deformable material, which are intended to perform the following functions: 
(a) Separation of the tiled surface from fixed elements such as columns and walls.
(b) Subdivision of large areas of tiled surface into smaller sections to compensate for induced strain from various causes.
(c) To interrupt the tiled surface to match discontinuities in the substrate such as construction joints and movement joints.
It is essential that movement joints be carried through the tile and the bedding.

5.4.7   Bonding
In some installations, small hollow-sounding areas may be found. Although they do indicate
incomplete bond they are not necessarily indicative of imminent failure; however, cases
where more than 20% of the tile sounds hollow when tapped (‘drummy’) would have to be
considered suspect over the long term. Needless to say this ratio would need to be varied 
depending on—
(a) whether the tile is fixed to the floor or wall; and
(b) the anticipated form and amount of traffic.


Home Building Act 1989
Works have not been completed as per plans and specifications (AS3958.1) – section 18B(1)(a) of the HBA;
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA;
Works are not fit for purpose – section 18B(1)(f) of the HBA.
See section 10.2 of the report.","Protect adjacent areas;
Remove all Drummy tiles;
Expose tiles each side of required control as identified in AS3958.1;
Cut tile screed – depth of cut controlled to not affect waterproof membrane under screed;
Install sealant to screed;
Lay new tiles with minimum 90% glue coverage to rear of tiles as stipulated by AS3958.1;
New tiles to be installed with sufficient falls;
Install sealant to tile control joint surface;
Grout tiles with flexible additive;
Clean down work area and demobolise."
Building D roof,South roof,"Efflorescence.

Efflorescence on floor surfaces contributes to slips, trips and falls.

Where efflorescence is caused by water ponding on the surface is a defect by the builder.

Insufficient allowance for thermal expansions is resulting in heaving of tiles and trapped moisture under the tiles,  resulting in efflorescence.","NSW Defect Guide

14.8 Calcification and efflorescence associated with decks and balconies

Calcification or efflorescence caused by water coming from a deck or balcony that occurs on walls below or beside the deck or balcony, or that appears in the mortar joints of the deck or balcony tiling, may be considered a defect if it is due to defective or missing flashings, membrane, a damp proof course DPC or faulty design and needs to be investigated to identify the cause. 

AS3958.12 2007 Ceramic Tile Installation

C2.2 Efflorescence

Efflorescence usually appears as a white powder on the surface of the tile or joints. It is caused by liquid water carrying soluble salts from below the tile to the surface. When the water evaporates it leaves a powdery residue. 

See section 9.9 of the report.","Clean off efflorescence.
Remove one row of tiles.
Provide control joint in tile screed as per AS3958.1.
Waterproof control joint as per AS4654.2
Reinstall tiles as per AS4654.2 with control joint through tile screed.
See section 9.9 of the report."
Building D roof,South hydraulic plant,"Temporary packers retained.

Not UV stable and failing.

Not suitable for permanent structural support of metal framing.","Home Building Act 1989
Failure to perform work with due care and skill as packers are not a permanent solution – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended (non-UV stable packers are retained) – section 18B(1)(b) of the HBA. 
Materials not fit for purpose as are not UV stable– section 18B(1)(f) of the HBA.","Install permanent packers.
Remove UV packers."
Building D roof,South hydraulic plant,Incomplete Membrane.,"Building Code of Australia 2016
FP1.2   
Surface water, resulting from a storm having an average recurrence interval of 100 years must not enter the building.

FP1.4   
A roof and external wall (including openings around windows and doors) must prevent the penetration of water that could cause— 
(a) unhealthy or dangerous conditions, or loss of amenities for occupants; and
(b) undue dampness or deterioration of building elements. 

F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.1-2012 (Part 1)
2.4   Bond Strength To Substrate
Where a membrane or a membrane system is of the bonded or
partially bonded type and Is used in exposed conditions, it shall
have sufficient adhesion to resist applied forces without failure
of the membrane. 

NOTE: Applied forces can result from wind loads, thermal movement, settlement and movement at a discontinuity of substrate (e.g., movement joints and
cracks).

AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied 
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  
The substrate shall be resistant to moisture damage that is caused by condensation forming on the underside of the substrate.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Provide DBPA design and scope for repair.

Remove the waterproof membrane back to the clean substrate;
Ensure the substrate is smooth with falls ready to accommodate primer and waterproofing;
Grind as required to attain a smooth surface;
Install fillet/bond breaker for all junctions and services as required by AS4654.2;
Reactivate existing membrane to manufacturers specifications;
Prime surface and install a compliant UV stable waterproofing with a minimum 100mm upturn and compliant terminations;
Where lapping onto existing waterproofing ensures existing waterproofing is sufficiently activated to allow adhesion and minimum overlap to be 150mm.

See section 10.2 of the report."
Building D roof,South hydraulic plant,"Insufficient falls to the roof.

Water ponding
2mm deep.","Building Code of Australia 2016
FP1.1
Surface water, resulting from a storm having an average recurrence interval of 20 years and which is collected or concentrated by a building or sitework, must be disposed of in a way that avoids the likelihood of damage or nuisance to any other property.

FP1.3   
A drainage system for the disposal of surface water resulting from a storm having an average recurrence interval of—
(a) 20 years must—
(i) convey surface water to an appropriate outfall; and
(ii) avoid surface water damaging the building; and
(b) 100 years must avoid the entry of surface water into a building.
F1.1
Stormwater drainage must comply with AS/NZS 3500.3.
F1.4
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.5.2 Falls	
Falls in finishes shall ensure water drains to the drainage outlet. Water shall not be retained on the finished surface with the exception of residual water remaining due to surface tension.
Note: Falls for surface drainage should be no flatter than 1 in 100.

AS3500.3
5.3.3.3 Ponding
Except for on-site stormwater detention (OSD) systems, ponding of stormwater shall only occur temporarily at sag pits complying with Clause 5.4.10.1.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA.
Works have not been completed as per plans and specifications (BCA) – section 18B(1)(a) of the HBA.

See section 9.7 of this report.","Provide DBPA design and scope for repair.

Remove the waterproof membrane back to the clean substrate;
Ensure the substrate is smooth with falls ready to accommodate primer and waterproofing;
Grind as required to attain a smooth surface;
Install fillet/bond breaker for all junctions and services as required by AS4654.2;
Reactivate existing membrane to manufacturers specifications;
Prime surface and install a compliant UV stable waterproofing with a minimum 100mm upturn and compliant terminations;
Where lapping onto existing waterproofing ensures existing waterproofing is sufficiently activated to allow adhesion and minimum overlap to be 150mm.

See section 9.7 of this report."
Building D roof,South hydraulic plant,Corrosion to steel,"AS4100 is a document adopted by the NCC.

AS4100-1998 Steel Structures
Section 3.5.2(c)
Corrosion protection shall be provided.

3.5.6   Corrosion protection 
Where steelwork in a structure is to be exposed to a corrosive
environment, the steelwork shall be given protection against
corrosion. The degree of protection to be employed shall be
determined after consideration has been given to the use of
the structure, its maintenance, and the climatic or other local
conditions.

Home Building Act 1989
Works have not been completed with due care and skill as inadequate waterproofing has been provided – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS4100) – section 18B(1)(a) of the HBA.
Works are not good and suitable for the purpose for which they are intended as they are corroding – section 18B(1)(b) of the HBA;

Works are not fit for purpose as they are corroding – section 18B(1)(f) of the HBA.

See section 10.4 of the report.","Grind back corrosion from steel;
Thoroughly clean down steel;
Apply zinc primer;
Apply two coats of appropriate
protection paint;
Reapply finishes.

See section 10.4 of the report."
Building D roof,South hydraulic plant,Powder coating adhesion failure,"Home Building Act 1989
Works have not been completed with due care and skill as inadequate waterproofing has been provided – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (Manufacturer’s specification) – section 18B(1)(a) of the HBA.
Works are not good and suitable for the purpose for which they are intended as the powder coating has failed – section 18B(1)(b) of the HBA.","Clean the surface properly;
Apply a chemical treatment, such as conversion coating and primer, to the surface to improve adhesion.
Apply the powder coating at the correct thickness."
Building D roof,North roof,"Insufficient falls to the roof.

Water ponding.","Building Code of Australia 2016
FP1.1
Surface water, resulting from a storm having an average recurrence interval of 20 years and which is collected or concentrated by a building or sitework, must be disposed of in a way that avoids the likelihood of damage or nuisance to any other property.

FP1.3   
A drainage system for the disposal of surface water resulting from a storm having an average recurrence interval of—
(a) 20 years must—
(i) convey surface water to an appropriate outfall; and
(ii) avoid surface water damaging the building; and
(b) 100 years must avoid the entry of surface water into a building.
F1.1
Stormwater drainage must comply with AS/NZS 3500.3.
F1.4
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.5.2 Falls	
Falls in finishes shall ensure water drains to the drainage outlet. Water shall not be retained on the finished surface with the exception of residual water remaining due to surface tension.
Note: Falls for surface drainage should be no flatter than 1 in 100.

AS3500.3
5.3.3.3 Ponding
Except for on-site stormwater detention (OSD) systems, ponding of stormwater shall only occur temporarily at sag pits complying with Clause 5.4.10.1.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA.
Works have not been completed as per plans and specifications (BCA) – section 18B(1)(a) of the HBA.

See section 9.7 of this report.","Provide DBPA design and scope for repair.

Remove the waterproof membrane back to the clean substrate;
Ensure the substrate is smooth with falls ready to accommodate primer and waterproofing;
Grind as required to attain a smooth surface;
Install fillet/bond breaker for all junctions and services as required by AS4654.2;
Reactivate existing membrane to manufacturers specifications;
Prime surface and install a compliant UV stable waterproofing with a minimum 100mm upturn and compliant terminations;
Where lapping onto existing waterproofing ensures existing waterproofing is sufficiently activated to allow adhesion and minimum overlap to be 150mm.

See section 9.7 of this report."
Building D roof,North roof,Corrosion stains throughout on membrane,"Building Code of Australia 2016

F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied 
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  
The substrate shall be resistant to moisture damage that is caused by condensation forming on the underside of the substrate.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Clean down membrane.
High pressure clean.
Mechanically abrade to remove any remaining corrosions.
Clean down membrane.
Reactivate and apply two coats of waterproofing as per AS4654.2 and manufacturers specifications."
Building D roof,North roof,"Corroding pipe support brackets.

Membrane not upturned threaded rod","Building Code of Australia 2016
FP1.4   
A roof and external wall (including openings around windows
and doors) must prevent the penetration of water that could
cause— 
(a) unhealthy or dangerous conditions, or loss of amenity for
occupants; and
(b) undue dampness or deterioration of building elements. 

AS4100 is a document adopted by the NCC.

AS4100-1998 Steel Structures

Section 3.5.2(c)
Corrosion protection shall be provided.

3.5.6   Corrosion protection 
Where steelwork in a structure is to be exposed to a corrosive
environment, the steelwork shall be given protection against
corrosion. The degree of protection to be employed shall be
determined after consideration has been given to the use of
the structure, its maintenance, and the climatic or other local
conditions.
Home Building Act 1989
Works have not been completed with due care and skill as the membrane has failed and is installed over a rough and unsuitable substrate – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS4654.2 and manufacturers specifications) – section 18B(1)(a) of the HBA;
Works are not good and suitable for the purpose for which they are intended as the membrane providing inconsistent coverage is not suitable – section 18B(1)(b) of the HBA. 
Works are not fit for purpose as the membrane is delaminating – section 18B(1)(f) of the HBA. 
See section 10.4 of the report.","Grind back the corrosion;
Treat corroded elements and prepare for priming;
Prime the steel;
Paint with rust-inhibiting paint; 
See section 10.4 of the report."
Building D roof,North roof,"Inadequate DFT to waterproofing membrane.

Inadequate film thickness reduces crack bridging ability, durability and membrane stability. The service life of a liquid membrane is vastly reduced when installed to an insufficient thickness.","Building Code of Australia 2016
FP1.2   
Surface water, resulting from a storm having an average recurrence interval of 100 years must not enter the building.

FP1.4   
A roof and external wall (including openings around windows and doors) must prevent the penetration of water that could cause— 
(a) unhealthy or dangerous conditions, or loss of amenity for occupants; and
(b) undue dampness or deterioration of building elements. 

F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.16   Inspection And Acceptance Test
On completion of the installation of a membrane system, inspection and/or acceptance testing shall be conducted. 

NOTE: A visual inspection should be conducted and/or one of the following test procedures undertaken:
(a) For a liquid membrane system, the dry film thickness (DFT) to be tested by non-destructive means.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Provide DBPA design and scope for repair.

Remove the waterproof membrane back to the clean substrate;
Ensure the substrate is smooth with falls ready to accommodate primer and waterproofing;
Grind as required to attain a smooth surface;
Install fillet/bond breaker for all junctions and services as required by AS4654.2;
Reactivate existing membrane to manufacturers specifications;
Prime surface and install a compliant UV stable waterproofing with a minimum 100mm upturn and compliant terminations;
Where lapping onto existing waterproofing ensures existing waterproofing is sufficiently activated to allow adhesion and minimum overlap to be 150mm.

See section 10.2 of the report."
Building D roof,Roof access,"Drain on the wrong side of the door.

With the drain inside of the building, rainwater will enter the building.

Water can enter internal space and damage the skirting and plasterboard adjacent to the drain.

Strip drain is required to be at the waterstop defining the internal to external areas.","Building Code of Australia 2016
FP1.2 Damp and Weatherproofing
Surface water, resulting from a storm having an average recurrence interval of 100 years must not enter the building.

Home Building Act 1989
Works have not been completed with due care and skill as the drain is on the wrong side of the opening – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS4654.2) – section 18B(1)(a) of the HBA;
Works are not good and suitable for the purpose for which they are intended as the drain allows water to enter internal spaces – section 18B(1)(b) of the HBA;
Work have not been completed with due diligence– section 18B(1)(d) of the HBA;
Works are not reasonably fit for occupation – section 18B(1)(e) of the HBA; and
Works are not fit for purpose – section 18B(1)(f) of the HBA;.
See section 10.5 of the report.","Attain compliant D&BPA design and declaration.
Remove door and frame.
Remove strip drain.
Remove one row of tiles externally and internally.
Install waterstop and waterproofing as per AS4654.2 and manufacturers specifications.
Install strip drain across opening.
Reinstall door frame door.
Rectify finish.
Install tiles.
Clan down and demobolise.
See section 10.5 of the report."
Building D roof,Roof access,Door frame corroding,"Building Code of Australia 2016
FP1.4   
A roof and external wall (including openings around windows
and doors) must prevent the penetration of water that could
cause— 
(a) unhealthy or dangerous conditions, or loss of amenity for
occupants; and
(b) undue dampness or deterioration of building elements. 

AS4100 is a document adopted by the NCC.

AS4100-1998 Steel Structures

Section 3.5.2(c)
Corrosion protection shall be provided.

3.5.6   Corrosion protection 
Where steelwork in a structure is to be exposed to a corrosive
environment, the steelwork shall be given protection against
corrosion. The degree of protection to be employed shall be
determined after consideration has been given to the use of
the structure, its maintenance, and the climatic or other local
conditions.

Home Building Act 1989
Works have not been completed with due care and skill as the membrane has failed and is installed over a rough and unsuitable substrate – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS4654.2 and manufacturers specifications) – section 18B(1)(a) of the HBA;
Works are not good and suitable for the purpose for which they are intended as the membrane providing inconsistent coverage is not suitable – section 18B(1)(b) of the HBA. 
Works are not fit for purpose as the membrane is delaminating – section 18B(1)(f) of the HBA. 

See section 10.4 of the report.","Grind back the corrosion;
Treat corroded elements and prepare for priming;
Prime the steel;
Paint with rust-inhibiting paint; 
See section 10.4 of the report."
Defect No.,Location,Area,Defect Description,Breach
Building E roof,Roof,"Adhesion failure, delamination, crazing, dusting and cracking of membrane throughout the roof.

Crazing, cracking and membrane delamination are confirmations of waterproof membrane failure.","Crazing and cracking are the premature failure of the membrane.

Building Code of Australia 2016
FP1.2   
Surface water, resulting from a storm having an average recurrence interval of 100 years must not enter the building.

FP1.4   
A roof and external wall (including openings around windows and doors) must prevent the penetration of water that could cause— 
(a) unhealthy or dangerous conditions, or loss of amenity for occupants; and
(b) undue dampness or deterioration of building elements. 

F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.1-2012 (Part 1)
2.4   Bond Strength To Substrate
Where a membrane or a membrane system is of the bonded or
partially bonded type and Is used in exposed conditions, it shall
have sufficient adhesion to resist applied forces without failure
of the membrane. 

NOTE: Applied forces can result from wind loads, thermal movement, settlement and movement at a discontinuity of substrate (e.g., movement joints and
cracks).

AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied 
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  
The substrate shall be resistant to moisture damage that is caused by condensation forming on the underside of the substrate.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Provide DBPA design and scope for repair.

Remove the waterproof membrane back to the clean substrate;
Ensure the substrate is smooth with falls ready to accommodate primer and waterproofing;
Grind as required to attain a smooth surface;
Install fillet/bond breaker for all junctions and services as required by AS4654.2;
Reactivate existing membrane to manufacturers specifications;
Prime surface and install a compliant UV stable waterproofing with a minimum 100mm upturn and compliant terminations;
Where lapping onto existing waterproofing ensures existing waterproofing is sufficiently activated to allow adhesion and minimum overlap to be 150mm.

See section 10.2 of the report."
Building E roof,Roof,Corrosion stains on membrane,"Building Code of Australia 2016

F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied 
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  
The substrate shall be resistant to moisture damage that is caused by condensation forming on the underside of the substrate.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Clean down membrane.
High pressure clean.
Mechanically abrade to remove any remaining corrosions.
Clean down membrane.
Reactivate and apply two coats of waterproofing as per AS4654.2 and manufacturers specifications."
Building E roof,Roof,"Membrane is not detailed to pipe.

Penetrating the membrane without detailing will reduce the service life of the membrane as moisture will enter under the membrane causing delamination.","Building Code of Australia 2016
FP1.1 
Surface water, resulting from a storm having an average recurrence interval of 20 years and which is collected or concentrated by a building or sitework, must be disposed of in a way that avoids the likelihood of damage or nuisance to any other property. 

FP1.3   
A drainage system for the disposal of surface water resulting from a storm having an average recurrence interval of— 
(a) 20 years must—
(i) convey surface water to an appropriate outfall; and
(ii) avoid surface water damaging the building; and 
(b) 100 years must avoid the entry of surface water into a building. 
F1.1 
Stormwater drainage must comply with AS/NZS 3500.3. 

F1.4
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.8.4   Penetrations
Any fixings that penetrate the membrane shall be sealed. The sealant shall be compatible with the surface material.


Figure 2.10 Typical Details Of Vertical Penetration Using a Collar

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Attain D&BPA design.
Clean down the membrane.
Apply non-porous primer to PVC pipe.
Reactive existing waterproof membrane.
Install UV stable fillet.
Install two coats of waterproofing as per AS4654.2 and the manufacturer's specifications.
Install UV stable topcoat.

See section 10.2 of the report."
Building E roof,Roof,"Temporary packers retained.

Not UV stable and failing.

Not suitable for permanent structural support of metal framing.","Home Building Act 1989
Failure to perform work with due care and skill as packers are not a permanent solution – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended (non-UV stable packers are retained) – section 18B(1)(b) of the HBA. 
Materials not fit for purpose as are not UV stable– section 18B(1)(f) of the HBA.","Install permanent packers.
Remove UV packers."
Building E roof,Roof,"Corrosion stains throughout on wall.

Corrosion stains on membrane.","Building Code of Australia 2016
F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.

AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied 
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  
The substrate shall be resistant to moisture damage that is caused by condensation forming on the underside of the substrate.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA; 
Works have not been completed as per plans and specifications (AS 4654) – section 18B(1)(a) of the HBA; 
Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA. 
Failure to perform work with due diligence – section 18B(1)(d) of the HBA;   
Materials not fit for purpose – section 18B(1)(f) of the HBA. 
See section 10.2 of the report.","Clean down membrane.
High pressure clean.
Mechanically abrade to remove any remaining corrosions.
Clean down membrane.
Reactivate and apply two coats of waterproofing as per AS4654.2 and manufacturers specifications."
Building E roof,Roof,"Rough substrate.

Membrane deteriorating and delaminating.

Patchy waterproof membrane is confirmation of inconsistent coatings.

A smooth substrate has not been provided as required by AS4654.2. A smooth substrate is required to ensure consistent membrane film thickness is achieved as required by the manufacturer. Inconsistent membrane thickness will result in membrane crazing ands cracking and failing before a reasonable service life.","Crazing and cracking are the premature failure of the membrane.

Building Code of Australia 2016
FP1.3   
A drainage system for the disposal of surface water resulting from a storm having an average recurrence interval of— 
(a) 20 years must—
(i) convey surface water to an appropriate outfall; and
(ii) avoid surface water damaging the building; and
(b) 100 years must avoid the entry of surface water into a building.
F1.1
Stormwater drainage must comply with AS/NZS 3500.3. 
F1.4   External above ground membrane
Waterproofing membranes for external above ground use must comply with AS 4654 Parts 1 and 2.
AS3500.3
5.4.1 Basis
Surface drainage systems shall be designed to provide protection against potential losses caused by overflows, including damage to buildings and their contents, and injury and nuisance to persons.
AS4654.2 – 2012 (Part 2)
2.5.3.1   Fully bonded or liquid-applied 
The preparation of the substrate for fully bonded or liquid-applied membranes shall result in the surface of the substrate being smooth, without protrusions, voids or formwork distortions, and clean, dry, and free from dust and contamination.  
The substrate shall be resistant to moisture damage that is caused by condensation forming on the underside of the substrate.

Home Building Act 1989
Failure to perform work with due care and skill – section 18B(1)(a) of the HBA.

Works have not been completed as per plans and specifications (AS4654.2) – section 18B(1)(a) of the HBA.

Works are not good and suitable for the purpose for which they are intended – section 18B(1)(b) of the HBA.
See section 8.6 of the report.","Provide DBPA design and scope for repair.

Remove the waterproof membrane back to the clean substrate;
Ensure the substrate is smooth with falls ready to accommodate primer and waterproofing;
Grind as required to attain a smooth surface;
Install fillet/bond breaker for all junctions and services as required by AS4654.2;
Reactivate existing membrane to manufacturers specifications;
Prime surface and install a compliant UV stable waterproofing with a minimum 100mm upturn and compliant terminations;
Where lapping onto existing waterproofing ensures existing waterproofing is sufficiently activated to allow adhesion and minimum overlap to be 150mm.

See section 10.2 of the report."
Building E roof,Roof,Corrosion to supporting boooker rods.,"Building Code of Australia 2016
FP1.4   
A roof and external wall (including openings around windows
and doors) must prevent the penetration of water that could
cause— 
(a) unhealthy or dangerous conditions, or loss of amenity for
occupants; and
(b) undue dampness or deterioration of building elements. 

AS4100 is a document adopted by the NCC.

AS4100-1998 Steel Structures

Section 3.5.2(c)
Corrosion protection shall be provided.

3.5.6   Corrosion protection 
Where steelwork in a structure is to be exposed to a corrosive
environment, the steelwork shall be given protection against
corrosion. The degree of protection to be employed shall be
determined after consideration has been given to the use of
the structure, its maintenance, and the climatic or other local
conditions.

Home Building Act 1989
Works have not been completed with due care and skill as the membrane has failed and is installed over a rough and unsuitable substrate – section 18B(1)(a) of the HBA;
Works have not been completed as per plans and specifications (AS4654.2 and manufacturers specifications) – section 18B(1)(a) of the HBA;
Works are not good and suitable for the purpose for which they are intended as the membrane providing inconsistent coverage is not suitable – section 18B(1)(b) of the HBA. 
Works are not fit for purpose as the membrane is delaminating – section 18B(1)(f) of the HBA. 
See section 10.4 of the report.","Grind back the corrosion;
Treat corroded elements and prepare for priming;
Prime the steel;
Paint with rust-inhibiting paint; 
See section 10.4 of the report."
